moisture,temperature,pH,timestamp
94,25,5,2024-10-14 12:57:58+00:00
100,25,5,2024-10-14 12:58:11+00:00
93,25,5,2024-10-14 12:58:24+00:00
93,25,5,2024-10-14 12:58:37+00:00
95,25,5,2024-10-14 12:58:50+00:00
99,25,5,2024-10-14 12:59:04+00:00
100,25,5,2024-10-14 12:59:17+00:00
100,25,5,2024-10-14 12:59:30+00:00
94,25,5,2024-10-14 12:59:43+00:00
99,25,5,2024-10-14 12:59:56+00:00
94,25,5,2024-10-14 13:00:10+00:00
99,25,5,2024-10-14 13:00:23+00:00
100,25,5,2024-10-14 13:00:36+00:00
95,25,5,2024-10-14 13:00:49+00:00
100,25,5,2024-10-14 13:01:02+00:00
100,25,5,2024-10-14 13:01:15+00:00
94,25,5,2024-10-14 13:01:29+00:00
94,25,5,2024-10-14 13:01:42+00:00
94,25,5,2024-10-14 13:01:55+00:00
97,25,5,2024-10-14 13:02:08+00:00
99,25,5,2024-10-14 13:02:21+00:00
100,25,5,2024-10-14 13:02:34+00:00
95,25,5,2024-10-14 13:02:48+00:00
100,25,5,2024-10-14 13:03:01+00:00
100,25,5,2024-10-14 13:03:14+00:00
100,25,5,2024-10-14 13:03:27+00:00
94,25,5,2024-10-14 13:03:40+00:00
100,25,5,2024-10-14 13:03:53+00:00
100,25,5,2024-10-14 13:04:07+00:00
94,25,5,2024-10-14 13:04:20+00:00
94,25,5,2024-10-14 13:04:33+00:00
99,25,5,2024-10-14 13:04:46+00:00
95,25,5,2024-10-14 13:04:59+00:00
93,25,5,2024-10-14 13:05:13+00:00
94,25,5,2024-10-14 13:05:26+00:00
99,25,5,2024-10-14 13:05:39+00:00
100,25,5,2024-10-14 13:05:52+00:00
100,25,5,2024-10-14 13:06:05+00:00
100,25,5,2024-10-14 13:06:18+00:00
94,25,5,2024-10-14 13:06:32+00:00
94,25,5,2024-10-14 13:06:45+00:00
99,25,5,2024-10-14 13:06:58+00:00
98,25,5,2024-10-14 13:07:11+00:00
100,25,5,2024-10-14 13:07:24+00:00
100,24,5,2024-10-14 13:07:37+00:00
94,24,5,2024-10-14 13:07:51+00:00
95,24,5,2024-10-14 13:08:04+00:00
100,24,5,2024-10-14 13:08:17+00:00
95,24,5,2024-10-14 13:08:30+00:00
94,24,5,2024-10-14 13:08:43+00:00
99,24,5,2024-10-14 13:08:56+00:00
94,24,5,2024-10-14 13:09:09+00:00
94,24,5,2024-10-14 13:09:23+00:00
100,24,5,2024-10-14 13:09:36+00:00
100,24,5,2024-10-14 13:09:49+00:00
95,24,5,2024-10-14 13:10:02+00:00
100,24,5,2024-10-14 13:10:15+00:00
99,24,5,2024-10-14 13:10:28+00:00
98,24,5,2024-10-14 13:10:42+00:00
99,24,5,2024-10-14 13:10:55+00:00
96,24,5,2024-10-14 13:11:08+00:00
99,24,5,2024-10-14 13:11:21+00:00
100,24,5,2024-10-14 13:11:34+00:00
100,24,5,2024-10-14 13:11:47+00:00
100,24,5,2024-10-14 13:12:01+00:00
100,24,4,2024-10-14 13:12:14+00:00
100,24,5,2024-10-14 13:12:27+00:00
100,24,5,2024-10-14 13:12:40+00:00
99,24,5,2024-10-14 13:12:53+00:00
100,24,5,2024-10-14 13:13:07+00:00
99,24,5,2024-10-14 13:13:19+00:00
94,24,4,2024-10-14 13:13:33+00:00
94,24,5,2024-10-14 13:13:46+00:00
93,24,4,2024-10-14 13:13:59+00:00
94,24,4,2024-10-14 13:14:12+00:00
98,24,4,2024-10-14 13:14:25+00:00
95,24,4,2024-10-14 13:14:38+00:00
100,24,4,2024-10-14 13:14:52+00:00
94,24,4,2024-10-14 13:15:05+00:00
100,24,4,2024-10-14 13:15:18+00:00
